variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
la-lettre-du-cardiologue::print,LA LETTRE DU CARDIOLOGUE,la-lettre-du-cardiologue,Print,Mensuel,7000,,,,,8700,5916
la-lettre-du-gynecologue::print,LA LETTRE DU GYNECOLOGUE,la-lettre-du-gynecologue,Print,Bimestriel,7500,,,,,8700,5916
la-lettre-du-neurologue::print,LA LETTRE DU NEUROLOGUE,la-lettre-du-neurologue,Print,Mensuel,3000,,,,,8700,5916
la-lettre-du-psychiatre::print,LA LETTRE DU PSYCHIATRE,la-lettre-du-psychiatre,Print,Trimestriel,7000,,,,,8700,5916
la-lettre-du-rhumatologue::print,LA LETTRE DU RHUMATOLOGUE,la-lettre-du-rhumatologue,Print,Mensuel,3000,,,,,8700,5916
la-profession-comptable::print,LA PROFESSION COMPTABLE,la-profession-comptable,Print,Mensuel,6000,210 x 280,,,,1410,958.8
la-revue-administration-intendance::print,LA REVUE ADMINISTRATION & INTENDANCE,la-revue-administration-intendance,Print,Trimestriel,15000,210 x 297,,,,2400,1632
la-revue-de-l-infirmiere::print,LA REVUE DE L'INFIRMIERE,la-revue-de-l-infirmiere,Print,Mensuel,8000,210 x 297,,,,9600,6528
la-revue-des-opticiens::print,LA REVUE DES OPTICIENS,la-revue-des-opticiens,Print,Mensuel,5000,230 x 300,,,,4000,2720
la-revue-des-tabacs::print,LA REVUE DES TABACS,la-revue-des-tabacs,Print,Mensuel,20000,210 x 297,,,,7560,5140.8
la-revue-du-praticien-medecine-generale::print,"LA REVUE DU PRATICIEN, MEDECINE GENERALE",la-revue-du-praticien-medecine-generale,Print,Mensuel,15000,210 x 270,,,,8600,5848
la-revue-du-praticien::print,LA REVUE DU PRATICIEN,la-revue-du-praticien,Print,Mensuel,12000,210 x 270,,,,7200,4896
la-revue-du-trombinoscope::print,LA REVUE DU TROMBINOSCOPE,la-revue-du-trombinoscope,Print,Mensuel,15300,210 x 297,,,,7900,5372
la-revue-fiscale-du-patrimoine::print,LA REVUE FISCALE DU PATRIMOINE,la-revue-fiscale-du-patrimoine,Print,Mensuel,1100,210 x 297,,,,1600,1088
la-revue-generale-des-chemins-de-fer::print,LA REVUE GENERALE DES CHEMINS DE FER,la-revue-generale-des-chemins-de-fer,Print,Mensuel,2000,210 x 297,,,,2500,1700
la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::print,LA REVUE PRATIQUE DU FROID ET DU CONDITIONNEMENT D'AIR (LA RPF),la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf,Print,Bimestriel,5600,230 x 300,,,,5330,3624.4
la-revue-scolaire-et-universitaire::print,LA REVUE SCOLAIRE ET UNIVERSITAIRE,la-revue-scolaire-et-universitaire,Print,Bimestriel,2950,210 x 297,,,,10900,7412
la-semaine-juridique-5-editions::print,LA SEMAINE JURIDIQUE (5 EDITIONS),la-semaine-juridique-5-editions,Print,Hebdomadaire,25000,210 x 297,,,,11482,7807.76
